reach_id,from,date,to,blue,coastal,count,green,nir,nir08,nir09,red,rededge1,rededge2,rededge3,qc_percent,ndti,pred,se,omega,response,se_response
44230000671,139,2023-04-30,,,,,,,,,,,,,,,-0.150373383632424,0.0571000176860594,-0.00552151066779313,-0.150373383632424,0.0571000176860594
44230000671,139,2023-05-05,,,,,,,,,,,,,,,-0.155108031897439,0.0546354987852188,-0.0102561589328081,-0.155108031897439,0.0546354987852188
44230000671,139,2023-05-10,,,,,,,,,,,,,,,-0.157588694534706,0.0622092477696576,-0.0127368215700747,-0.157588694534706,0.0622092477696576
44230000671,139,2023-05-15,,,,,,,,,,,,,,,-0.181418737034821,0.0687909072811128,-0.0365668640701902,-0.181418737034821,0.0687909072811128
44230000671,139,2023-05-20,,,,,,,,,,,,,,,-0.165277949980446,0.0750132461994642,-0.0204260770158147,-0.165277949980446,0.0750132461994642
44230000671,139,2023-05-25,,,,,,,,,,,,,,,-0.15502322175078,0.0863242259450564,-0.0101713487861487,-0.15502322175078,0.0863242259450564
44230000671,139,2023-05-30,,,,,,,,,,,,,,,-0.142158965318063,0.089629819924155,0.00269290764656834,-0.142158965318063,0.089629819924155
44230000671,139,2023-06-04,,,,,,,,,,,,,,,-0.14505763587136,0.0915694508368173,-0.0002057629067287,-0.14505763587136,0.0915694508368173
44230000671,139,2023-06-09,,,,,,,,,,,,,,,-0.0863766106255051,0.101240694889971,0.0584752623391258,-0.0863766106255051,0.101240694889971
44230000671,139,2023-06-14,,,,,,,,,,,,,,,-0.0277722377664171,0.105368207160788,0.117079635198214,-0.0277722377664171,0.105368207160788
44230000671,139,2023-06-19,,,,,,,,,,,,,,,0.0308321350926703,0.104607409908416,0.175684008057301,0.0308321350926703,0.104607409908416
44230000671,139,2023-06-24,,,,,,,,,,,,,,,0.0326925024535222,0.113757145312837,0.177544375418153,0.0326925024535222,0.113757145312837
